INFO 2025-01-03 01:32:06,681 "GET / HTTP/1.1" 200 9290
INFO 2025-01-03 01:32:10,510 "GET / HTTP/1.1" 200 9290
INFO 2025-01-03 01:32:11,895 "GET / HTTP/1.1" 200 9290
WARNING 2025-01-03 01:32:18,616 Method Not Allowed (GET): /accounts/logout/
WARNING 2025-01-03 01:32:18,622 Method Not Allowed: /accounts/logout/
WARNING 2025-01-03 01:32:18,623 "GET /accounts/logout/ HTTP/1.1" 405 0
INFO 2025-01-03 01:32:27,564 "GET / HTTP/1.1" 200 9290
INFO 2025-01-03 01:32:35,175 "GET /current-session/ HTTP/1.1" 200 10609
INFO 2025-01-03 01:32:49,569 "GET /student/list HTTP/1.1" 200 9946
INFO 2025-01-03 01:32:54,388 "GET /student/create/ HTTP/1.1" 200 13612
INFO 2025-01-03 01:33:00,299 "GET /student/list HTTP/1.1" 200 9946
INFO 2025-01-03 01:33:02,463 "GET /student/upload/ HTTP/1.1" 200 10001
INFO 2025-01-03 01:33:08,924 "GET /result/create/ HTTP/1.1" 200 10386
INFO 2025-01-03 01:33:15,553 "POST /result/create/ HTTP/1.1" 200 10530
INFO 2025-01-03 01:33:19,321 "GET /result/edit-results/ HTTP/1.1" 200 10104
INFO 2025-01-03 01:33:21,653 "GET /result/view/all HTTP/1.1" 200 8834
INFO 2025-01-03 01:33:24,180 "GET /session/list/ HTTP/1.1" 200 11598
INFO 2025-01-03 01:33:27,585 "GET / HTTP/1.1" 200 9290
INFO 2025-01-03 01:33:29,042 "GET / HTTP/1.1" 200 9290
INFO 2025-01-03 01:33:32,144 "GET / HTTP/1.1" 200 9290
WARNING 2025-01-03 01:33:52,179 Method Not Allowed (GET): /accounts/logout/
WARNING 2025-01-03 01:33:52,189 Method Not Allowed: /accounts/logout/
WARNING 2025-01-03 01:33:52,189 "GET /accounts/logout/ HTTP/1.1" 405 0
INFO 2025-01-03 01:34:08,823 "GET / HTTP/1.1" 200 9290
INFO 2025-01-03 01:34:15,855 "GET / HTTP/1.1" 200 9290
INFO 2025-01-03 01:34:20,727 "GET /site-config HTTP/1.1" 200 10862
INFO 2025-01-03 01:34:34,501 "GET /student/list HTTP/1.1" 200 9946
INFO 2025-01-03 01:34:37,420 "GET /site-config HTTP/1.1" 200 10862
INFO 2025-01-03 01:35:35,761 Watching for file changes with StatReloader
INFO 2025-01-03 01:35:39,356 "GET / HTTP/1.1" 200 9290
INFO 2025-01-03 01:35:39,537 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 304 0
INFO 2025-01-03 01:35:39,538 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 304 0
INFO 2025-01-03 01:35:39,544 "GET /static/dist/js/jquery.formset.js HTTP/1.1" 304 0
INFO 2025-01-03 01:35:39,544 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 0
INFO 2025-01-03 01:35:39,544 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 304 0
INFO 2025-01-03 01:35:39,544 "GET /static/plugins/Datatables/datatables.min.css HTTP/1.1" 304 0
INFO 2025-01-03 01:35:39,544 "GET /static/dist/js/adminlte.js HTTP/1.1" 304 0
INFO 2025-01-03 01:35:39,544 "GET /static/dist/js/demo.js HTTP/1.1" 304 0
INFO 2025-01-03 01:35:39,555 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 304 0
INFO 2025-01-03 01:35:39,555 "GET /static/plugins/Datatables/datatables.min.js HTTP/1.1" 304 0
INFO 2025-01-03 01:35:39,555 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 304 0
INFO 2025-01-03 01:35:39,555 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 304 0
INFO 2025-01-03 01:35:39,555 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 304 0
INFO 2025-01-03 01:35:39,668 "GET /static/plugins/fontawesome-free/webfonts/fa-regular-400.woff2 HTTP/1.1" 304 0
INFO 2025-01-03 01:35:39,678 "GET /static/plugins/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 0
WARNING 2025-01-03 01:35:46,197 Method Not Allowed (GET): /accounts/logout/
WARNING 2025-01-03 01:35:46,204 Method Not Allowed: /accounts/logout/
WARNING 2025-01-03 01:35:46,205 "GET /accounts/logout/ HTTP/1.1" 405 0
INFO 2025-01-03 01:35:53,173 "GET /accounts/login/ HTTP/1.1" 200 3831
INFO 2025-01-03 01:35:53,197 "GET /static/dist/img/login.png HTTP/1.1" 304 0
INFO 2025-01-03 01:35:53,197 "GET /static/dist/css/login-page.css HTTP/1.1" 304 0
INFO 2025-01-03 01:36:11,910 "GET / HTTP/1.1" 200 9290
INFO 2025-01-03 01:41:52,266 Watching for file changes with StatReloader
INFO 2025-01-03 01:41:56,637 "GET / HTTP/1.1" 200 9290
INFO 2025-01-03 01:41:56,808 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 304 0
INFO 2025-01-03 01:41:56,813 "GET /static/dist/js/jquery.formset.js HTTP/1.1" 304 0
INFO 2025-01-03 01:41:56,813 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 304 0
INFO 2025-01-03 01:41:56,818 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 304 0
INFO 2025-01-03 01:41:56,818 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 304 0
INFO 2025-01-03 01:41:56,836 "GET /static/plugins/Datatables/datatables.min.css HTTP/1.1" 304 0
INFO 2025-01-03 01:41:56,837 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 304 0
INFO 2025-01-03 01:41:56,842 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 304 0
INFO 2025-01-03 01:41:56,842 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 304 0
INFO 2025-01-03 01:41:56,846 "GET /static/dist/js/adminlte.js HTTP/1.1" 304 0
INFO 2025-01-03 01:41:56,847 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 0
INFO 2025-01-03 01:41:56,849 "GET /static/dist/js/demo.js HTTP/1.1" 304 0
INFO 2025-01-03 01:41:56,853 "GET /static/plugins/Datatables/datatables.min.js HTTP/1.1" 304 0
INFO 2025-01-03 01:41:56,903 "GET /static/plugins/fontawesome-free/webfonts/fa-regular-400.woff2 HTTP/1.1" 304 0
INFO 2025-01-03 01:41:56,903 "GET /static/plugins/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 0
INFO 2025-01-03 01:42:01,872 "GET /accounts/login/ HTTP/1.1" 200 3831
INFO 2025-01-03 01:42:01,884 "GET /static/dist/css/login-page.css HTTP/1.1" 304 0
INFO 2025-01-03 01:42:01,884 "GET /static/dist/img/login.png HTTP/1.1" 304 0
INFO 2025-01-03 01:42:13,600 "POST /accounts/login/ HTTP/1.1" 302 0
INFO 2025-01-03 01:42:13,614 "GET / HTTP/1.1" 200 9290
INFO 2025-01-03 01:42:17,040 "GET /student/list HTTP/1.1" 200 9946
INFO 2025-01-03 01:42:18,903 "GET /student/create/ HTTP/1.1" 200 13612
INFO 2025-01-03 01:43:26,727 "POST /student/create/ HTTP/1.1" 302 0
INFO 2025-01-03 01:43:26,751 "GET /student/1/ HTTP/1.1" 200 11271
INFO 2025-01-03 01:43:26,826 "GET /static/dist/img/avatar.png HTTP/1.1" 200 8543
INFO 2025-01-03 01:43:35,835 "GET /result/create/ HTTP/1.1" 200 10566
INFO 2025-01-03 01:43:39,383 "POST /result/create/ HTTP/1.1" 200 10911
INFO 2025-01-03 01:43:46,584 "POST /result/create/ HTTP/1.1" 302 0
INFO 2025-01-03 01:43:46,617 "GET /result/edit-results/ HTTP/1.1" 200 11408
INFO 2025-01-03 01:44:04,280 "POST /result/edit-results/ HTTP/1.1" 302 0
INFO 2025-01-03 01:44:04,298 "GET /result/edit-results/ HTTP/1.1" 200 11565
INFO 2025-01-03 01:44:06,816 "GET /result/edit-results/ HTTP/1.1" 200 11422
INFO 2025-01-03 01:44:08,761 "GET /result/view/all HTTP/1.1" 200 10075
INFO 2025-01-03 01:44:11,847 "GET /site-config HTTP/1.1" 200 10862
INFO 2025-01-03 01:44:36,712 "POST /site-config HTTP/1.1" 200 10872
INFO 2025-01-03 01:44:38,548 "POST /site-config HTTP/1.1" 200 10872
INFO 2025-01-03 01:44:41,730 "GET /session/list/ HTTP/1.1" 200 11598
INFO 2025-01-03 01:44:58,876 "POST /session/create/ HTTP/1.1" 302 0
INFO 2025-01-03 01:44:58,887 "GET /session/list/ HTTP/1.1" 200 12082
INFO 2025-01-03 01:45:07,086 "GET /finance/list/ HTTP/1.1" 200 9923
INFO 2025-01-03 01:45:08,582 "GET /result/create/ HTTP/1.1" 200 10564
INFO 2025-01-03 01:45:10,139 "GET /staff/list/ HTTP/1.1" 200 9685
INFO 2025-01-03 01:45:12,330 "GET /staff/create/ HTTP/1.1" 200 12594
INFO 2025-01-03 01:45:16,446 "GET /result/create/ HTTP/1.1" 200 10564
INFO 2025-01-03 01:45:17,539 "GET /result/edit-results/ HTTP/1.1" 200 10102
INFO 2025-01-03 01:45:19,380 "GET /result/view/all HTTP/1.1" 200 8832
INFO 2025-01-03 01:45:22,777 "GET /subject/list/ HTTP/1.1" 200 11395
INFO 2025-01-03 01:45:34,863 "POST /subject/create/ HTTP/1.1" 302 0
INFO 2025-01-03 01:45:34,885 "GET /subject/list/ HTTP/1.1" 200 11825
INFO 2025-01-03 01:45:40,301 "GET /class/list/ HTTP/1.1" 200 11408
INFO 2025-01-03 01:45:42,352 "GET /class/1/update/ HTTP/1.1" 200 9822
INFO 2025-01-03 01:45:52,746 "POST /class/1/update/ HTTP/1.1" 302 0
INFO 2025-01-03 01:45:52,767 "GET /class/list/ HTTP/1.1" 200 11552
